frnr,sad,motion
1,0.000000,0
2,2.116042,0
3,2.503854,0
4,2.205417,0
5,2.354062,0
6,2.436198,0
7,2.726927,0
8,3.158125,0
9,3.243281,0
10,3.019844,0
11,2.945521,0
12,3.038802,0
13,2.747448,0
14,2.988073,0
15,3.110417,0
16,3.269375,0
17,3.269375,0
18,3.432031,0
19,3.485937,0
20,3.656354,0
21,3.560104,0
22,3.542396,0
23,3.598750,0
24,3.406198,0
25,3.237083,0
26,3.516667,0
27,3.088125,0
28,3.073125,0
29,3.674740,0
30,4.012760,1
31,3.975833,0
32,3.793333,0
33,3.884375,0
34,3.773021,0
35,3.701563,0
36,4.085260,1
37,4.268438,1
38,4.178177,1
39,4.661875,1
40,5.433698,1
41,5.916719,1
42,6.274948,1
43,7.230573,1
44,7.841510,1
45,8.292917,1
46,8.751823,1
47,8.743177,1
48,8.771354,1
49,9.045000,1
50,9.484479,1
51,10.164687,1
52,10.839531,1
53,11.012031,1
54,11.115052,1
55,11.554792,1
56,11.554792,1
57,11.780156,1
58,12.089115,1
59,12.414062,1
60,13.117969,1
61,13.602240,1
62,13.747813,1
63,14.253958,1
64,14.596458,1
65,14.989427,1
66,15.501354,1
67,15.698854,1
68,15.770677,1
69,16.170781,1
70,16.397604,1
71,16.209375,1
72,16.159427,1
73,16.318802,1
74,16.054896,1
75,15.842344,1
76,15.598750,1
77,14.682760,1
78,14.084479,1
79,14.076146,1
80,13.766979,1
81,13.773802,1
82,13.688698,1
83,13.814896,1
84,14.912604,1
85,16.220885,1
86,16.202604,1
87,16.365156,1
88,15.936719,1
89,15.548281,1
90,15.602031,1
91,15.345208,1
92,15.231927,1
93,15.512708,1
94,15.005000,1
95,13.893333,1
96,13.996562,1
97,14.242292,1
98,13.735365,1
99,13.597812,1
100,14.163750,1
101,14.987187,1
102,16.186719,1
103,16.918073,1
104,16.699635,1
105,16.532865,1
106,16.230469,1
107,16.072031,1
108,16.084219,1
109,15.952917,1
110,15.752656,1
111,15.679167,1
112,15.315573,1
113,14.543490,1
114,14.543490,1
115,14.295052,1
116,14.154896,1
117,13.932813,1
118,13.850052,1
119,13.899062,1
120,13.961406,1
121,13.960208,1
122,14.017917,1
123,14.132292,1
124,14.053802,1
125,13.942760,1
126,13.676615,1
127,13.364323,1
128,12.883906,1
129,12.110365,1
130,11.316562,1
131,10.580000,1
132,9.159896,1
133,8.515937,1
134,8.515937,1
135,7.848854,1
136,7.173281,1
137,6.583177,1
138,6.025104,1
139,5.493802,1
140,5.185729,1
141,4.965104,1
142,4.717135,1
143,4.678698,1
144,4.706771,1
145,4.648125,1
146,4.652969,1
147,4.598281,1
148,4.503802,1
149,4.554688,1
150,4.570156,1
151,4.585260,1
152,4.658437,1
153,4.689323,1
154,4.704844,1
155,4.686250,1
156,4.718646,1
157,4.607448,1
158,4.577865,1
159,4.481250,1
160,4.613281,1
161,4.594167,1
162,4.601146,1
163,4.516198,1
164,4.389115,1
165,4.395625,1
166,4.361302,1
167,4.373125,1
168,4.455625,1
169,4.643073,1
170,4.669479,1
171,4.691615,1
172,4.712500,1
173,4.712500,1
174,4.614740,1
175,4.699948,1
176,4.809531,1
177,4.816094,1
178,4.906771,1
179,4.952969,1
180,4.875990,1
181,4.874323,1
182,4.921302,1
183,4.999375,1
184,4.965208,1
185,4.965521,1
186,4.973958,1
187,5.004635,1
188,4.956979,1
189,4.950104,1
190,4.985469,1
191,5.021615,1
192,5.021615,1
193,5.063438,1
194,5.085521,1
195,5.111875,1
196,5.123490,1
197,5.023958,1
198,5.049740,1
199,5.056927,1
200,5.072188,1
201,5.172917,1
202,5.081927,1
203,5.170104,1
204,5.330260,1
205,5.331510,1
206,5.235156,1
207,5.171667,1
208,5.250573,1
209,5.334375,1
210,5.381927,1
211,5.384010,1
212,5.294375,1
213,5.221979,1
214,5.323021,1
215,5.397865,1
216,5.478021,1
217,5.574375,1
218,5.599167,1
219,5.550573,1
220,5.542760,1
221,5.572500,1
222,5.591146,1
